date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,TSL,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
2019-11-15,Friday,2019-11-21,6,11900,P,54.35,12:35:00,88.55,0.275,0.05,2019-11-21,15:25:00,EOD exit,54.300000000000004,0.544,2925,157236.30000000002,3.1447260000000004,2019,11,77.0,0.05,3.17655,87.01875
2019-11-18,Monday,2019-11-21,3,11950,C,50.25,09:40:00,61.9,0.0,61.9,2019-11-19,12:00:00,SL hit,-11.649999999999999,1.1215000000000002,6750,-86207.625,-1.7241525,2019,11,64.25,31.05,2.5919999999999996,201.65625
2019-11-19,Tuesday,2019-11-21,2,11950,C,40.5,14:55:00,64.25,0.0,62.55,2019-11-20,09:15:00,Gap SL hit,-22.049999999999997,1.0305,4200,-96938.09999999999,-1.9387619999999999,2019,11,68.9,37.75,0.231,125.47500000000001
2019-11-20,Wednesday,2019-11-21,1,12050,C,19.25,14:05:00,42.25,0.0,0.05,2019-11-21,15:25:00,EOD exit,19.2,0.193,4350,82680.45,1.6536089999999999,2019,11,21.65,0.05,1.6704,131.04375
2019-11-22,Friday,2019-11-28,6,12000,C,33.0,12:35:00,67.45,0.0,67.45,2019-11-25,11:30:00,SL hit,-34.45,1.0045,2925,-103704.4125,-2.07408825,2019,11,69.7,29.2,0.22230000000000003,87.75
2019-11-25,Monday,2019-11-28,3,11900,P,29.65,09:30:00,55.1,0.10500000000000001,0.05,2019-11-28,15:25:00,EOD exit,29.599999999999998,0.297,3900,114281.69999999998,2.2856339999999995,2019,11,37.05,0.05,2.3087999999999997,116.025
2019-11-26,Tuesday,2019-11-28,2,12150,C,25.55,12:05:00,47.55,0.0,2.65,2019-11-28,15:25:00,EOD exit,22.900000000000002,0.282,4575,103477.35,2.069547,2019,11,39.55,0.55,2.2875,138.96562500000002
2019-11-29,Friday,2019-12-05,6,12150,C,30.65,12:35:00,84.7,0.0,0.05,2019-12-05,15:25:00,EOD exit,30.599999999999998,0.307,1875,56799.375,1.1359875,2019,12,39.6,0.05,1.1475,56.95312500000001
2019-12-02,Monday,2019-12-05,3,12050,P,74.7,10:35:00,74.95,56.652499999999996,74.95,2019-12-02,10:40:00,SL hit,-0.25,1.4965000000000002,6600,-11526.900000000001,-0.23053800000000002,2019,12,82.95,68.0,0.8844000000000005,198.82500000000002
2019-12-02,Monday,2019-12-05,3,12050,P,62.7,10:25:00,65.9,55.3375,65.9,2019-12-02,10:30:00,SL hit,-3.200000000000003,1.2860000000000003,6600,-29607.60000000002,-0.5921520000000003,2019,12,69.75,56.2,0.8580000000000001,198.82500000000002
2019-12-02,Monday,2019-12-05,3,12100,P,80.6,09:20:00,94.85,80.0,94.85,2019-12-02,10:20:00,SL hit,-14.25,1.7545,6600,-105629.7,-2.112594,2019,12,95.9,60.5,2.653199999999999,199.65
