Entry Time,Entry Date,ROI% MACD,ROI% MTrend,Dates 1,Dates,,,,ROI% PF
2017-06-09 11:15:00,2017-06-09,-0.0664700085,,09/06/2017,26/12/2017,-1.928474219,0,0,-0.9642371097
2017-06-09 13:15:00,2017-06-09,-0.4326488662,,09/06/2017,28/12/2017,-0.9603203655,-3.267719362,-4.901579043,-2.930949704
2017-06-12 10:15:00,2017-06-12,-0.07725141135,,12/06/2017,29/12/2017,-2.552976643,0,0,-1.276488322
2017-06-13 11:15:00,2017-06-13,-0.2022501321,,13/06/2017,03/01/2018,-0.3798603605,0,0,-0.1899301802
2017-06-13 13:15:00,2017-06-13,-0.5321966234,,13/06/2017,04/01/2018,18.74721948,0,0,9.373609741
2017-06-13 13:15:00,2017-06-13,-0.268340335,,13/06/2017,09/01/2018,-0.1801162935,0,0,-0.09005814675
2017-06-16 12:15:00,2017-06-16,-0.0764121951,,16/06/2017,11/01/2018,6.43570373,0,0,3.217851865
2017-06-16 13:15:00,2017-06-16,0.665482865,,16/06/2017,12/01/2018,7.658431092,0,0,3.829215546
2017-06-16 13:15:00,2017-06-16,0.452848032,,16/06/2017,16/01/2018,2.126157101,0,0,1.06307855
2017-06-16 14:45:00,2017-06-16,1.089633706,,16/06/2017,18/01/2018,0,-0.2442396176,-0.3663594264,-0.1831797132
2017-06-19 12:15:00,2017-06-19,-0.31207422,,19/06/2017,19/01/2018,2.841395025,0,0,1.420697513
2017-06-19 13:15:00,2017-06-19,0.00207052288,,19/06/2017,25/01/2018,-0.7049368071,-1.626469204,-2.439703806,-1.572320307
2017-06-20 14:45:00,2017-06-20,-0.3842359839,,20/06/2017,29/01/2018,0.02305618095,0,0,0.01152809047
2017-06-21 14:15:00,2017-06-21,-0.295829699,,21/06/2017,01/02/2018,-5.834652516,0,0,-2.917326258
2017-06-22 10:15:00,2017-06-22,-0.5204056925,,22/06/2017,07/02/2018,-1.255680055,0,0,-0.6278400276
2017-06-22 10:15:00,2017-06-22,-0.750810729,,22/06/2017,08/02/2018,-6.585614767,-1.070209743,-1.605314614,-4.095464691
2017-06-22 09:45:00,2017-06-22,-0.059050698,,22/06/2017,12/02/2018,-1.056370446,0,0,-0.5281852232
2017-06-23 09:15:00,2017-06-23,-0.378392679,,23/06/2017,14/02/2018,-2.115693618,0,0,-1.057846809
2017-06-23 09:15:00,2017-06-23,-0.616152051,,23/06/2017,15/02/2018,-3.146218765,-1.723949721,-2.585924581,-2.866071673
2017-06-29 09:45:00,2017-06-29,-1.08083917,,29/06/2017,16/02/2018,-0.8833505943,0,0,-0.4416752972
2017-07-03 10:15:00,2017-07-03,-0.3681081634,,03/07/2017,22/02/2018,0,-0.6768163265,-1.01522449,-0.5076122449
2017-07-03 10:45:00,2017-07-03,-0.1833983151,,03/07/2017,23/02/2018,4.858242299,0,0,2.429121149
2017-07-03 11:15:00,2017-07-03,3.014421228,,03/07/2017,27/02/2018,-0.3326413111,0,0,-0.1663206556
2017-07-03 11:15:00,2017-07-03,3.496457247,,03/07/2017,01/03/2018,0,-1.090400466,-1.635600699,-0.8178003493
2017-07-04 12:15:00,2017-07-04,0.20247864,,04/07/2017,08/03/2018,0,5.8514199,8.77712985,4.388564925
2017-07-04 14:15:00,2017-07-04,-0.2660153114,,04/07/2017,09/03/2018,-2.870132905,0,0,-1.435066453
2017-07-04 14:45:00,2017-07-04,-0.2953675725,,04/07/2017,12/03/2018,2.12424439,0,0,1.062122195
2017-07-05 10:15:00,2017-07-05,0.3975053935,,05/07/2017,13/03/2018,-0.7256664653,0,0,-0.3628332326
2017-07-05 10:15:00,2017-07-05,0.6270799606,,05/07/2017,14/03/2018,-1.0814033,0,0,-0.5407016501
2017-07-07 10:45:00,2017-07-07,0.8570803482,,07/07/2017,15/03/2018,-1.255179696,0,0,-0.6275898482
2017-07-10 09:15:00,2017-07-10,0.1099221915,,10/07/2017,21/03/2018,-0.690627924,0,0,-0.345313962
2017-07-10 13:15:00,2017-07-10,-0.2772949988,,10/07/2017,22/03/2018,-0.3584644,0,0,-0.1792322
