Signal Generated At,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,Qty,ROI%,Trade Year,Trade Month
2023-08-08 11:15:00,2023-08-08 12:15:00,8545.25,8497.2,8549.9,2023-08-09 09:15:00,8525.1,-20.15,-22.165,561.715573,-1.245042568,2023,8
2023-08-09 10:15:00,2023-08-09 11:15:00,8546.4,8514.35,8616.4625,2023-08-10 13:15:00,8598.85,52.45,47.205,561.6399888,2.651221567,2023,8
2023-08-11 13:15:00,2023-08-11 14:15:00,8603.75,8591.9,8591.9,2023-08-11 15:15:00,8591.9,-11.85,-13.035,557.8962662,-0.7272177829,2023,8
2023-08-21 10:15:00,2023-08-21 11:15:00,8617.3,8593.85,8824.0625,2023-08-24 14:15:00,8814.85,197.55,177.795,557.0190199,9.903519664,2023,8
2023-08-25 12:15:00,2023-08-25 13:15:00,8742.35,8729.95,8729.95,2023-08-25 14:15:00,8729.95,-12.4,-13.64,549.0514564,-0.7489061866,2023,8
2023-08-28 10:15:00,2023-08-28 11:15:00,8757.25,8744.25,8890.825,2023-08-31 12:15:00,8877.1,119.85,107.865,548.1172743,5.912266979,2023,8
2023-08-31 13:15:00,2023-08-31 14:15:00,8901.4,8876.45,8876.45,2023-09-01 09:15:00,8876.45,-24.95,-27.445,539.2410183,-1.479946975,2023,8
2023-09-01 10:15:00,2023-09-01 11:15:00,8900.65,8865.65,9053.4625,2023-09-06 12:15:00,9051.65,151,135.9,539.2864566,7.328902945,2023,9
2023-09-06 13:15:00,2023-09-06 14:15:00,9061.45,9044.3,9044.3,2023-09-12 15:15:00,9044.3,-17.15,-18.865,529.7165465,-0.9993102649,2023,9
2023-09-18 15:15:00,2023-09-20 09:15:00,9156.25,9141.05,9141.05,2023-09-20 10:15:00,9141.05,-15.2,-16.72,524.2320819,-0.876516041,2023,9
2023-09-20 11:15:00,2023-09-20 12:15:00,9169.7,9157.1,9157.1,2023-09-20 13:15:00,9157.1,-12.6,-13.86,523.4631449,-0.7255199189,2023,9
2023-09-20 14:15:00,2023-09-20 15:15:00,9155.85,9134.35,9134.35,2023-09-21 09:15:00,9134.35,-21.5,-23.65,524.2549845,-1.239863038,2023,9
2023-09-26 10:15:00,2023-09-26 11:15:00,9198.65,9177.75,9177.75,2023-09-26 12:15:00,9177.75,-20.9,-22.99,521.8157012,-1.199654297,2023,9
2023-09-27 11:15:00,2023-09-27 12:15:00,9170.9,9154.45,9154.45,2023-09-28 13:15:00,9154.45,-16.45,-18.095,523.3946505,-0.94708262,2023,9
2023-10-10 10:15:00,2023-10-10 11:15:00,9094.9,9077.8,9156.1375,2023-10-11 13:15:00,9137.85,42.95,38.655,527.7683097,2.040088401,2023,10
2023-10-12 11:15:00,2023-10-12 12:15:00,9182.45,9166.1,9166.1,2023-10-12 13:15:00,9166.1,-16.35,-17.985,522.7363068,-0.9401412477,2023,10
2023-10-12 15:15:00,2023-10-13 09:15:00,9157.3,9150.35,9150.35,2023-10-13 14:15:00,9150.35,-6.95,-7.645,524.1719721,-0.4007294727,2023,10
2023-10-16 10:15:00,2023-10-16 11:15:00,9179.4,9155.55,9155.55,2023-10-16 13:15:00,9155.55,-23.85,-26.235,522.9099941,-1.37185437,2023,10
2023-11-02 12:15:00,2023-11-02 13:15:00,8818.75,8801,8968.10625,2023-11-07 12:15:00,8961,142.25,128.025,544.2948264,6.968334515,2023,11
2023-11-07 13:15:00,2023-11-07 14:15:00,8975.2,8958,9126.975,2023-11-09 15:15:00,9125.95,150.75,135.675,534.8070238,7.255994295,2023,11
2023-11-10 09:15:00,2023-11-10 10:15:00,9125.85,9074.45,9238.4125,2023-11-13 15:15:00,9233.85,108,97.2,525.978402,5.112510068,2023,11
2023-11-15 10:15:00,2023-11-15 11:15:00,9339.95,9311.25,9453.20625,2023-11-17 13:15:00,9449.15,109.2,98.28,513.9213807,5.05081933,2023,11
2023-11-20 11:15:00,2023-11-20 12:15:00,9475.2,9455.75,9455.75,2023-11-20 13:15:00,9455.75,-19.45,-21.395,506.585613,-1.083839919,2023,11
2023-11-23 11:15:00,2023-11-23 12:15:00,9516.95,9503.85,9503.85,2023-11-23 13:15:00,9503.85,-13.1,-14.41,504.3632676,-0.7267874687,2023,11
2023-11-24 11:15:00,2023-11-24 12:15:00,9501.55,9490.15,9490.15,2023-11-24 13:15:00,9490.15,-11.4,-12.54,505.1807337,-0.63349664,2023,11
2023-11-28 11:15:00,2023-11-28 12:15:00,9513.65,9503.7,9891,2023-12-05 11:15:00,9835.85,322.2,289.98,504.5382161,14.63059919,2023,11
2023-12-05 12:15:00,2023-12-05 13:15:00,9891.1,9834,9923.575,2023-12-06 12:15:00,9919.35,28.25,25.425,485.2847509,1.233836479,2023,12
2023-12-06 13:15:00,2023-12-06 14:15:00,9935.25,9892.35,9892.35,2023-12-07 09:15:00,9892.35,-42.9,-47.19,483.1282555,-2.279882237,2023,12
2023-12-07 10:15:00,2023-12-07 11:15:00,9957.7,9922.8,9975.03125,2023-12-08 10:15:00,9969.1,11.4,10.26,482.0390251,0.4945720397,2023,12
2023-12-11 12:15:00,2023-12-11 13:15:00,10012.15,9996.5,10026.14375,2023-12-12 12:15:00,10010.45,-1.7,-1.87,479.4175077,-0.08965107395,2023,12
2023-12-13 12:15:00,2023-12-13 13:15:00,10013.65,9989.65,10304.2375,2023-12-18 09:15:00,10296.2,282.55,254.295,479.3456931,12.1895213,2023,12
2023-12-18 10:15:00,2023-12-18 11:15:00,10316.2,10295.5,10295.5,2023-12-18 14:15:00,10295.5,-20.7,-22.77,465.2876059,-1.059459879,2023,12
2023-12-19 10:15:00,2023-12-19 11:15:00,10257.15,10211.75,10211.75,2023-12-21 09:15:00,10211.75,-45.4,-49.94,467.9662479,-2.337023442,2023,12
