Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2020-06-05,10200,2020-06-11,6,CE,98.65,128.245,119.95,2020-06-05 15:30:00,121.85,84.6,-21.299999999999997,675.7898293630681,-14394.323365433347,2.1860000000000004,-15871.599932421015,86.16320324379119,-1.5871599932421014,2020
2020-06-05,10000,2020-06-11,6,PE,112.0,145.6,60.05,2020-06-05 15:30:00,125.7,60.05,51.95,595.2380952380953,30922.619047619053,1.7205000000000001,29898.51190476191,74.40476190476191,2.9898511904761906,2020
2020-06-08,10450,2020-06-11,3,CE,57.1,74.23,22.0,2020-06-08 15:30:00,60.65,20.35,35.1,1167.5423234092234,40980.73555166374,0.7909999999999999,40057.20957384705,152.51021599532982,4.005720957384705,2020
2020-06-08,10200,2020-06-11,3,PE,74.0,96.2,96.2,2020-06-08 12:30:00,156.8,67.8,-22.200000000000003,900.9009009009008,-20000.0,1.702,-21533.333333333332,114.86486486486484,-2.153333333333333,2020
2020-06-09,10300,2020-06-11,2,CE,56.25,73.125,73.125,2020-06-09 10:04:00,95.95,13.1,-16.875,1185.1851851851852,-20000.0,1.29375,-21533.333333333332,152.5925925925926,-2.153333333333333,2020
2020-06-09,10100,2020-06-11,2,PE,70.8,92.04,92.04,2020-06-09 14:04:00,137.85,36.6,-21.24000000000001,941.6195856873819,-20000.0,1.6284,-21533.333333333332,118.87947269303196,-2.153333333333333,2020
2020-06-10,10150,2020-06-11,1,CE,51.05,66.365,66.365,2020-06-10 10:33:00,79.1,24.0,-15.314999999999998,1305.9092393078683,-20000.0,1.17415,-21533.333333333336,165.6872347371858,-2.1533333333333333,2020
2020-06-10,9950,2020-06-11,1,PE,28.4,36.92,36.92,2020-06-10 09:26:00,46.15,11.6,-8.520000000000003,2010.0502512562816,-17125.628140703524,0.6531999999999999,-18438.59296482413,250.00000000000006,-1.8438592964824128,2020
2020-06-11,10200,2020-06-11,0,CE,8.25,10.725,0.05,2020-06-11 15:29:00,8.75,0.05,8.2,1960.7843137254904,16078.43137254902,0.083,15915.686274509804,250.00000000000006,1.5915686274509804,2020
2020-06-11,10000,2020-06-11,0,PE,27.3,35.49,35.49,2020-06-11 11:16:00,103.35,13.6,-8.190000000000001,2000.0,-16380.000000000002,0.6279000000000001,-17635.800000000003,250.0,-1.7635800000000001,2020
2020-06-12,9650,2020-06-18,6,CE,169.6,220.48,220.48,2020-06-12 11:24:00,379.45,166.7,-50.879999999999995,393.08176100628936,-20000.0,3.9008,-21533.333333333332,47.41548742138366,-2.153333333333333,2020
2020-06-12,9450,2020-06-18,6,PE,102.85,133.70499999999998,27.15,2020-06-12 15:29:00,118.05,27.15,75.69999999999999,648.1931615621457,49068.22233025442,1.3,48225.57122022364,76.56781720952847,4.822557122022364,2020
2020-06-15,10000,2020-06-18,3,CE,84.95,110.435,53.0,2020-06-15 15:30:00,92.8,37.3,31.950000000000003,784.7753580537571,25073.57268981754,1.3795,23990.975083382385,98.09691975671964,2.3990975083382384,2020
2020-06-15,9800,2020-06-18,3,PE,105.35,136.95499999999998,136.95499999999998,2020-06-15 10:15:00,205.55,99.3,-31.60499999999999,632.8112640405001,-20000.0,2.42305,-21533.333333333336,77.51937984496125,-2.1533333333333333,2020
2020-06-16,10100,2020-06-18,2,CE,71.8,93.34,32.5,2020-06-16 15:29:00,75.25,18.2,39.3,928.505106778087,36490.25069637882,1.043,35521.81987000927,117.22376973073348,3.552181987000927,2020
2020-06-16,9900,2020-06-18,2,PE,52.25,67.925,67.925,2020-06-16 09:45:00,244.45,47.45,-15.674999999999997,1275.91706539075,-20000.0,1.20175,-21533.333333333336,157.89473684210532,-2.1533333333333333,2020
2020-06-17,10000,2020-06-18,1,CE,38.9,50.57,50.57,2020-06-17 09:33:00,72.9,14.95,-11.670000000000002,1713.7960582690657,-20000.0,0.8947,-21533.333333333332,214.22450728363322,-2.153333333333333,2020
2020-06-17,9800,2020-06-18,1,PE,73.8,95.94,95.94,2020-06-17 09:20:00,100.0,28.25,-22.14,903.3423667570008,-20000.0,1.6974,-21533.333333333332,110.65943992773259,-2.153333333333333,2020
2020-06-18,9950,2020-06-18,0,CE,10.35,13.455,13.455,2020-06-18 10:14:00,149.35,7.95,-3.1050000000000004,2010.0502512562816,-6241.206030150755,0.23805,-6719.698492462313,250.00000000000006,-0.6719698492462313,2020
2020-06-18,9750,2020-06-18,0,PE,16.1,20.930000000000003,0.05,2020-06-18 15:29:00,16.4,0.05,16.05,2051.2820512820513,32923.07692307692,0.16150000000000003,32591.79487179487,250.0,3.259179487179487,2020
2020-06-19,10200,2020-06-25,6,CE,121.1,157.43,157.43,2020-06-19 14:47:00,166.0,96.2,-36.33000000000001,550.5092210294521,-20000.0,2.7853,-21533.333333333332,70.18992568125513,-2.153333333333333,2020
2020-06-19,10000,2020-06-25,6,PE,110.5,143.65,61.05,2020-06-19 15:30:00,133.05,60.25,49.45,603.3182503770738,29834.0874811463,1.7155000000000002,28799.09502262443,75.41478129713423,2.8799095022624432,2020
2020-06-22,10400,2020-06-25,3,CE,67.0,87.10000000000001,87.10000000000001,2020-06-22 09:30:00,99.65,54.55,-20.10000000000001,995.0248756218901,-20000.0,1.5410000000000004,-21533.333333333332,129.35323383084574,-2.153333333333333,2020
2020-06-22,10200,2020-06-25,3,PE,102.95,133.835,65.85,2020-06-22 15:30:00,104.0,55.7,37.10000000000001,647.5635421725756,24024.60741460256,1.6880000000000002,22931.52015541525,82.56435162700339,2.293152015541525,2020
2020-06-23,10450,2020-06-25,2,CE,47.8,62.14,62.14,2020-06-23 11:56:00,94.9,40.0,-14.340000000000003,1394.7001394700137,-20000.0,1.0994,-21533.333333333332,182.18270571827054,-2.153333333333333,2020
2020-06-23,10250,2020-06-25,2,PE,72.45,94.185,20.5,2020-06-23 15:30:00,83.35,18.95,51.95,920.1748332183115,47803.082585691285,0.9295,46947.78007821487,117.89740050609616,4.694778007821487,2020
2020-06-24,10650,2020-06-25,1,CE,20.95,27.235,27.235,2020-06-24 10:12:00,29.65,3.5,-6.285,1877.9342723004695,-11802.81690140845,0.48185000000000006,-12707.699530516431,250.0,-1.270769953051643,2020
2020-06-24,10400,2020-06-25,1,PE,38.5,50.050000000000004,50.050000000000004,2020-06-24 10:57:00,142.7,29.5,-11.550000000000004,1731.601731601731,-20000.0,0.8855000000000002,-21533.333333333332,225.10822510822504,-2.153333333333333,2020
