Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs,Cumulative_PnL
103,2020-11-03 21:00:00+05:30,2020-11-04 21:00:00+05:30,Long,51620.0,50810,-810.0,102.43,-912.4300000000001,7306.220999999998
104,2020-11-05 17:00:00+05:30,2020-11-09 17:00:00+05:30,Long,51973.0,49855,-2118.0,101.828,-2219.828,5086.392999999998
104,2020-11-09 17:00:00+05:30,2020-11-09 17:00:00+05:30,Short,49855.0,49855,0.0,99.71000000000001,-99.71000000000001,4986.682999999998
106,2020-11-19 09:00:00+05:30,2020-12-03 09:00:00+05:30,Short,50052.0,49335,717.0,99.387,617.613,5604.2959999999985
107,2020-12-07 17:00:00+05:30,2020-12-09 17:00:00+05:30,Long,49857.0,49293,-564.0,99.15,-663.15,4941.145999999999
108,2020-12-16 13:00:00+05:30,2021-01-06 21:00:00+05:30,Long,49802.0,50490,688.0,100.292,587.708,5528.853999999998
109,2021-01-08 17:00:00+05:30,2021-01-20 17:00:00+05:30,Short,49365.0,49608,-243.0,98.973,-341.973,5186.8809999999985
110,2021-01-22 13:00:00+05:30,2021-03-18 09:00:00+05:30,Short,48899.0,45125,3774.0,94.024,3679.976,8866.856999999998
110,2021-02-16 17:00:00+05:30,2021-03-18 09:00:00+05:30,Add_Short,47111.0,45125,1986.0,92.236,1893.764,10760.620999999997
111,2021-04-01 17:00:00+05:30,2021-04-28 09:00:00+05:30,Long,45455.0,46936,1481.0,92.391,1388.609,12149.229999999998
112,2021-05-10 13:00:00+05:30,2021-06-03 17:00:00+05:30,Long,47932.0,48620,688.0,96.552,591.448,12740.677999999998
113,2021-06-14 13:00:00+05:30,2021-07-02 13:00:00+05:30,Short,48341.0,47385,956.0,95.726,860.274,13600.951999999997
114,2021-07-06 09:00:00+05:30,2021-07-20 17:00:00+05:30,Long,47653.0,47868,215.0,95.521,119.479,13720.430999999997
115,2021-08-06 17:00:00+05:30,2021-08-16 17:00:00+05:30,Short,46589.0,47211,-622.0,93.8,-715.8,13004.630999999998
116,2021-08-23 17:00:00+05:30,2021-08-25 17:00:00+05:30,Long,47571.0,47142,-429.0,94.71300000000001,-523.713,12480.917999999998
117,2021-09-16 13:00:00+05:30,2021-09-21 17:00:00+05:30,Short,46451.0,46760,-309.0,93.211,-402.211,12078.706999999999
118,2021-09-23 17:00:00+05:30,2021-09-30 17:00:00+05:30,Short,45980.0,46600,-620.0,92.58,-712.58,11366.126999999999
