,Trade No.,Entry Date,Entry Time,Entry Price,Entry Remark,Initial SL,Final SL,TSL Time,Exit Date,Exit Time,Exit Price,Remarks,Trade Year,Trade Month,Points Captured,Slippage,Points w cs,Qty,PnL,ROI%
119,60,2021-01-04,09:00:00,50580,Pyr Long,49947.75,49857.0,2021-01-06 21:00:00+05:30,2021-01-08,13:00:00,50239,Trailing SL,2020,12,-341,100.819,-441.819,316.3305654408857,-139760.8540925267,-1.3976085409252668
120,61,2021-04-05,17:00:00,45452,Long,44883.85,44883.85,2021-04-26 17:00:00+05:30,2021-04-28,09:00:00,46936,Trailing SL,2021,4,1484,92.388,1391.612,880.0492827598323,1224687.1424799757,12.246871424799757
121,61,2021-04-13,17:00:00,46900,Pyr Long,46313.75,46314.0,2021-04-26 17:00:00+05:30,2021-04-28,09:00:00,46936,Trailing SL,2021,4,36,93.836,-57.836,341.1513859275053,-19730.831556503195,-0.19730831556503195
122,61,2021-04-20,21:00:00,47850,Pyr Long,47251.875,46367.0,2021-04-26 17:00:00+05:30,2021-04-28,09:00:00,46936,Trailing SL,2021,4,-914,94.786,-1008.7860000000001,334.3782654127482,-337316.1128526646,-3.373161128526646
123,62,2021-05-06,09:00:00,47184,Long,46594.200000000004,46594.200000000004,2021-06-10 17:00:00+05:30,2021-06-14,09:00:00,48405,Trailing SL,2021,5,1221,95.589,1125.411,847.7449983045162,954061.546286884,9.540615462868839
124,62,2021-05-17,17:00:00,48144,Pyr Long,47542.200000000004,47211.0,2021-06-10 17:00:00+05:30,2021-06-14,09:00:00,48405,Trailing SL,2021,5,261,96.549,164.451,332.336324360255,54653.040877368294,0.5465304087736829
125,62,2021-05-19,17:00:00,48499,Pyr Long,47892.762500000004,47211.0,2021-06-10 17:00:00+05:30,2021-06-14,09:00:00,48405,Trailing SL,2021,5,-94,96.904,-190.904,329.90370935483446,-62979.937730675316,-0.6297993773067532
126,62,2021-05-25,17:00:00,48670,Pyr Long,48061.625,48230.0,2021-06-10 17:00:00+05:30,2021-06-14,09:00:00,48405,Trailing SL,2021,5,-265,97.075,-362.075,328.7446065337991,-119030.2034107253,-1.190302034107253
127,63,2021-07-06,21:00:00,47710,Long,47113.625,47113.625,2021-07-12 17:00:00+05:30,2021-07-22,13:00:00,47411,Trailing SL,2021,7,-299,95.121,-394.121,838.3986585621464,-330430.51771117165,-3.3043051771117167
128,63,2021-07-08,13:00:00,48000,Pyr Long,47400.0,47113.625,2021-07-12 17:00:00+05:30,2021-07-22,13:00:00,47411,Trailing SL,2021,7,-589,95.411,-684.4110000000001,333.3333333333333,-228137.0,-2.28137
129,63,2021-07-14,17:00:00,48290,Pyr Long,47686.375,47477.0,2021-07-12 17:00:00+05:30,2021-07-22,13:00:00,47411,Trailing SL,2021,7,-879,95.70100000000001,-974.701,331.3315386208325,-322949.182025264,-3.2294918202526404
130,64,2021-07-30,13:00:00,48200,Long,47597.5,47597.5,2021-07-30 21:00:00+05:30,2021-08-05,17:00:00,47597.5,Initial SL,2021,7,-602.5,95.7975,-698.2975,829.8755186721992,-579500.0,-5.795
131,64,2021-08-04,17:00:00,48310,Pyr Long,47706.125,47751.0,2021-07-30 21:00:00+05:30,2021-08-05,17:00:00,47597.5,Initial SL,2021,7,-712.5,95.9075,-808.4075,331.1943696957152,-267740.01241978887,-2.677400124197889
132,65,2021-08-18,13:00:00,47144,Long,46554.700000000004,46554.700000000004,2021-08-20 17:00:00+05:30,2021-08-27,13:00:00,47020,Trailing SL,2021,8,-124,94.164,-218.164,848.4642796538328,-185104.36110639878,-1.8510436110639878
133,65,2021-08-19,17:00:00,47549,Pyr Long,46954.637500000004,46554.700000000004,2021-08-20 17:00:00+05:30,2021-08-27,13:00:00,47020,Trailing SL,2021,8,-529,94.569,-623.569,336.4949841216454,-209827.8407537503,-2.098278407537503
134,66,2021-09-06,21:00:00,47445,Long,46851.9375,46851.9375,2021-08-20 17:00:00+05:30,2021-09-08,17:00:00,46851.9375,Initial SL,2021,9,-593.0625,94.2969375,-687.3594375,843.0814627463378,-579500.0,-5.795
135,67,2021-10-05,09:00:00,46702,Long,46118.225,46118.225,2021-10-26 17:00:00+05:30,2021-10-29,17:00:00,47530,Trailing SL,2021,10,828,94.232,733.768,856.4943685495247,628468.1598218477,6.2846815982184765
136,67,2021-10-06,17:00:00,46963,Pyr Long,46375.9625,46118.225,2021-10-26 17:00:00+05:30,2021-10-29,17:00:00,47530,Trailing SL,2021,10,567,94.493,472.507,340.69373762323613,160980.17588314242,1.6098017588314242
