date,high level,low level,atr_multiplier,side,strike,type,expiry,entry_time,entry price,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index_lev,qty,pnl,ROI%,Trade Year
2019-04-10,11681.21636919929,11619.28363080071,3,LONG,11700,PE,2019-04-11,2019-04-10 13:42:00,82.0,85.35,2019-04-10 13:48:00,SL Hit,-3.3499999999999943,1.6735,-5.023499999999994,10000000,8,6837.606837606838,-34348.71794871791,-0.3434871794871791,2019
2019-04-10,11681.21636919929,11619.28363080071,3,LONG,11700,PE,2019-04-11,2019-04-10 14:00:00,72.75,78.65,2019-04-10 14:03:00,SL Hit,-5.900000000000006,1.514,-7.414000000000006,10000000,8,6837.606837606838,-50694.01709401714,-0.5069401709401714,2019
2019-04-12,11644.725271953754,11594.974728046247,3,LONG,11650,PE,2019-04-18,2019-04-12 12:33:00,80.6,81.8,2019-04-12 12:36:00,SL Hit,-1.2000000000000028,1.6239999999999999,-2.8240000000000025,10000000,8,6866.9527896995705,-19392.274678111604,-0.19392274678111604,2019
2019-04-12,11644.725271953754,11594.974728046247,3,LONG,11650,PE,2019-04-18,2019-04-12 12:45:00,78.05,80.35,2019-04-12 12:48:00,SL Hit,-2.299999999999997,1.5839999999999999,-3.883999999999997,10000000,8,6866.9527896995705,-26671.24463519311,-0.2667124463519311,2019
2019-04-15,11692.500509761128,11634.09949023887,3,SHORT,11650,CE,2019-04-18,2019-04-15 14:36:00,72.05,74.1,2019-04-15 14:45:00,SL Hit,-2.049999999999997,1.4614999999999998,-3.511499999999997,10000000,8,6866.9527896995705,-24113.30472103002,-0.2411330472103002,2019
2019-04-15,11692.500509761128,11634.09949023887,3,SHORT,11650,CE,2019-04-18,2019-04-15 14:48:00,73.05,74.0,2019-04-15 14:51:00,SL Hit,-0.9500000000000028,1.4705000000000001,-2.420500000000003,10000000,8,6866.9527896995705,-16621.459227467833,-0.16621459227467833,2019
2019-04-16,11776.49858500796,11716.701414992041,3,SHORT,11700,CE,2019-04-18,2019-04-16 12:12:00,87.5,92.6,2019-04-16 12:27:00,SL Hit,-5.099999999999994,1.801,-6.9009999999999945,10000000,8,6837.606837606838,-47186.32478632475,-0.4718632478632475,2019
2019-04-18,11850.654392920325,11789.245607079676,3,LONG,11850,PE,2019-04-25,2019-04-18 09:48:00,93.2,99.7,2019-04-18 09:54:00,SL Hit,-6.5,1.929,-8.429,10000000,8,6751.054852320675,-56904.64135021097,-0.5690464135021097,2019
2019-04-18,11850.654392920325,11789.245607079676,3,LONG,11850,PE,2019-04-25,2019-04-18 14:18:00,87.9,89.8,2019-04-18 14:21:00,SL Hit,-1.8999999999999915,1.777,-3.6769999999999916,10000000,8,6751.054852320675,-24823.628691983067,-0.24823628691983068,2019
2019-04-22,11717.180462669052,11649.119537330947,3,LONG,11700,PE,2019-04-25,2019-04-22 14:18:00,72.6,81.45,2019-04-22 14:21:00,SL Hit,-8.850000000000009,1.5405000000000002,-10.390500000000008,10000000,8,6837.606837606838,-71046.1538461539,-0.710461538461539,2019
2019-04-23,11645.418587154032,11593.081412845968,3,LONG,11650,PE,2019-04-25,2019-04-23 10:06:00,75.65,77.8,2019-04-23 10:09:00,SL Hit,-2.1499999999999915,1.5345,-3.6844999999999914,10000000,8,6866.9527896995705,-25301.28755364801,-0.25301287553648005,2019
2019-04-23,11645.418587154032,11593.081412845968,3,LONG,11650,PE,2019-04-25,2019-04-23 10:12:00,69.95,75.25,2019-04-23 14:45:00,SL Hit,-5.299999999999997,1.452,-6.751999999999997,10000000,8,6866.9527896995705,-46365.66523605148,-0.46365665236051473,2019
2019-04-25,11746.296509963635,11688.503490036364,3,SHORT,11700,CE,2019-05-02,2019-04-25 09:27:00,90.0,97.5,2019-04-25 09:30:00,SL Hit,-7.5,1.875,-9.375,10000000,8,6837.606837606838,-64102.5641025641,-0.641025641025641,2019
