date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,trade_num,spot_price_at_entry,exit price,exit_time,spot_level_at_exit,remarks,points,index_lev,slippage,final_points,portfolio,qty,pnl,ROI%,Trade Year
2024-02-29,37.069781307800895,LONG,21950,P,2024-02-29,0,14:35:00,10.6,5,21983.45,37.95,2024-02-29 14:55:00,21920.7,TSL Hit,-27.35,10,0.48550000000000004,-27.835500000000003,10000000,4555.808656036446,-126813.21184510252,-1.2681321184510252,2024.0
2024-02-29,37.069781307800895,SHORT,21950,C,2024-02-29,0,14:55:00,4.1,6,21920.7,26.25,2024-02-29 15:05:00,21996.7,TSL Hit,-22.15,10,0.30350000000000005,-22.4535,10000000,4555.808656036446,-102293.84965831434,-1.0229384965831434,2024.0
2024-03-01,46.784570271463906,LONG,22150,P,2024-03-07,6,09:35:00,145.8,1,22161.85,78.0,2024-03-01 15:25:00,22326.05,EOD Exit,67.80000000000001,9,2.238,65.56200000000001,10000000,4063.2054176072234,266391.8735891648,2.663918735891648,2024.0
2024-03-04,24.098123523587823,SHORT,22400,C,2024-03-07,3,09:25:00,141.2,1,22392.3,147.85,2024-03-04 10:15:00,22413.35,TSL Hit,-6.650000000000006,8,2.8904999999999994,-9.540500000000005,10000000,3571.4285714285716,-34073.214285714304,-0.34073214285714304,2024.0
2024-03-04,24.098123523587823,LONG,22400,P,2024-03-07,3,10:15:00,120.0,2,22413.35,143.5,2024-03-04 10:55:00,22374.1,TSL Hit,-23.5,8,2.6350000000000002,-26.135,10000000,3571.4285714285716,-93339.28571428572,-0.9333928571428572,2024.0
2024-03-04,24.098123523587823,SHORT,22400,C,2024-03-07,3,10:55:00,122.2,3,22374.1,134.45,2024-03-04 14:05:00,22428.2,TSL Hit,-12.249999999999986,8,2.5665,-14.816499999999985,10000000,3571.4285714285716,-52916.07142857138,-0.5291607142857138,2024.0
2024-03-04,24.098123523587823,LONG,22400,P,2024-03-07,3,14:05:00,116.05,4,22428.2,125.3,2024-03-04 15:25:00,22397.65,EOD Exit,-9.25,8,2.4135,-11.663499999999999,10000000,3571.4285714285716,-41655.35714285714,-0.41655357142857136,2024.0
2024-03-05,25.298111527518934,LONG,22350,P,2024-03-07,2,09:15:00,108.45,1,22380.1,121.75,2024-03-05 09:55:00,22340.4,TSL Hit,-13.299999999999997,9,2.302,-15.601999999999997,10000000,4026.8456375838928,-62826.84563758388,-0.6282684563758388,2024.0
2024-03-05,25.298111527518934,SHORT,22350,C,2024-03-07,2,09:55:00,100.85,2,22340.4,88.85,2024-03-05 11:35:00,22324.7,TSL Hit,12.0,3,1.897,10.103,10000000,1342.2818791946308,13561.073825503356,0.13561073825503356,2024.0
2024-03-05,25.298111527518934,LONG,22300,P,2024-03-07,2,11:35:00,95.65,3,22324.7,76.15,2024-03-05 13:45:00,22356.55,TSL Hit,19.5,9,1.7180000000000002,17.782,10000000,4035.8744394618834,71765.91928251121,0.7176591928251121,2024.0
