,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
285,285,285,2023-06-20 14:45:00+05:30,2023-06-22 14:45:00+05:30,Long,63386.18,63222.41962962962,63107.01592592592,63225.64,Trailing SL Hit,-160.54000000000087,12.661182000000002,-173.20118200000087,1074.6368457153064,-186128.37189864364,-1.8612837189864364,2023
286,286,286,2023-06-27 11:45:00+05:30,2023-07-12 14:45:00+05:30,Long,63173.63,63079.088518518525,62983.16407407407,65361.32,Trailing SL Hit,2187.6900000000023,12.853495,2174.8365050000025,1575.0848795740499,3425552.0945711765,34.25552094571176,2023
287,287,287,2023-07-13 09:15:00+05:30,2023-07-13 14:15:00+05:30,Long,65875.13,65709.78851851852,65607.20777777779,65607.20777777779,Initial SL Hit,-267.9222222222161,13.148233777777781,-281.07045599999384,1119.7279475801693,-314722.4448222954,-3.147224448222954,2023
288,288,288,2023-07-14 14:45:00+05:30,2023-07-21 12:15:00+05:30,Long,66075.42,65853.80777777778,65718.44407407407,66712.78,Trailing SL Hit,637.3600000000006,13.278820000000001,624.0811800000006,840.392805822564,524473.333921257,5.24473333921257,2023
289,289,289,2023-07-26 09:15:00+05:30,2023-07-27 11:15:00+05:30,Long,66665.97,66561.81962962962,66421.82296296295,66522.24,Trailing SL Hit,-143.72999999999593,13.318821000000003,-157.04882099999594,1228.7677280083974,-192976.5229665625,-1.9297652296656251,2023
290,290,290,2023-07-31 14:15:00+05:30,2023-08-01 12:15:00+05:30,Long,66441.15,66247.4562962963,66104.15222222223,66408.32,Trailing SL Hit,-32.829999999987194,13.284947,-46.1149469999872,890.2135853187563,-41052.15230564302,-0.41052152305643025,2023
291,291,291,2023-08-01 12:45:00+05:30,2023-08-02 09:15:00+05:30,Long,66490.86,66365.08518518519,66260.45925925925,66104.7,Gap,-386.1600000000035,13.259556,-399.41955600000347,1302.0791471220425,-520075.8748203494,-5.200758748203493,2023
292,292,292,2023-08-07 09:15:00+05:30,2023-08-07 10:45:00+05:30,Long,65865.54,65600.88481481482,65436.17592592593,65786.76,Trailing SL Hit,-78.77999999999884,13.16523,-91.94522999999883,698.7077357297693,-64242.84346445204,-0.6424284346445204,2023
293,293,293,2023-08-07 12:15:00+05:30,2023-08-08 10:45:00+05:30,Long,65903.69,65632.87925925927,65489.40740740741,65843.79,Trailing SL Hit,-59.90000000000873,13.174748,-73.07474800000873,724.1433875427653,-52916.59556056023,-0.5291659556056023,2023
294,294,294,2023-08-09 14:45:00+05:30,2023-08-10 10:15:00+05:30,Long,66034.78,65812.1274074074,65707.42851851851,65707.42851851851,Initial SL Hit,-327.35148148148437,13.174220851851851,-340.5257023333362,916.4461350298443,-312073.4637817092,-3.1207346378170917,2023
