,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
79,2019-11-07,Thursday,2019-11-07,0,12050,C,7.1,09:54:00,20.0,0.05,2019-11-07,15:21:00,0,EOD exit,7.05,0.0715,1659.7510373443984,11582.572614107883,1.1582572614107884,2019,11,9.8,0.05,1.170124481327801,250.0
80,2019-11-08,Friday,2019-11-14,6,12000,C,60.35,09:15:00,82.5,82.5,2019-11-08,13:03:00,0,SL hit,-22.15,1.4284999999999999,1354.4018058690747,-31934.762979683976,-3.193476297968398,2019,11,98.85,50.35,1.3544018058690745,203.16027088036122
81,2019-11-08,Friday,2019-11-14,6,12050,C,37.2,13:36:00,74.9,0.05,2019-11-14,15:21:00,0,EOD exit,37.150000000000006,0.3725,795.7559681697612,29265.915119363395,2.9265915119363393,2019,11,44.8,0.05,2.956233421750664,119.86074270557027
685,2019-11-08,Friday,2019-11-14,6,11950,P,54.9,12:27:00,82.75,82.75,2019-11-08,15:03:00,0,SL hit,-27.85,1.3765,1077.1992818671454,-31482.764811490128,-3.1482764811490127,2019,11,86.2,37.6,1.863554757630161,160.90664272890484
686,2019-11-11,Monday,2019-11-14,3,11850,P,41.85,14:03:00,68.0,0.05,2019-11-14,15:21:00,0,EOD exit,41.800000000000004,0.419,1147.2275334608032,47473.42256214151,4.747342256214151,2019,11,54.65,0.05,4.795411089866158,169.9330783938815
687,2019-11-15,Friday,2019-11-21,6,11900,P,73.1,09:15:00,88.55,0.05,2019-11-21,15:21:00,0,EOD exit,73.05,0.7314999999999999,1680.672268907563,121543.6974789916,12.15436974789916,2019,11,77.0,0.05,12.277310924369747,250.0
82,2019-11-18,Monday,2019-11-21,3,11950,C,38.0,11:30:00,61.9,61.9,2019-11-19,12:00:00,0,SL hit,-23.9,0.9990000000000001,1255.2301255230127,-31253.97489539749,-3.1253974895397487,2019,11,64.25,31.05,0.8723849372384938,187.50000000000003
83,2019-11-19,Tuesday,2019-11-21,2,11950,C,42.9,14:45:00,64.25,59.5,2019-11-20,09:15:00,0,Gap SL hit,-16.6,1.024,1405.152224824356,-24764.40281030445,-2.476440281030445,2019,11,68.9,36.3,0.9274004683840751,209.89461358313815
84,2019-11-20,Wednesday,2019-11-21,1,12050,C,25.5,13:21:00,42.25,0.05,2019-11-21,15:21:00,0,EOD exit,25.45,0.2555,1659.7510373443984,41816.59751037344,4.181659751037343,2019,11,26.15,0.05,4.224066390041494,250.0
688,2019-11-22,Friday,2019-11-28,6,11950,P,89.75,13:36:00,116.95,0.05,2019-11-28,15:21:00,0,EOD exit,89.7,0.898,1102.941176470588,97943.38235294117,9.794338235294116,2019,11,102.1,0.05,9.893382352941174,164.7518382352941
