,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
87,nifty,10750,P,2019-09-26,2019-09-24 09:00:00,SELL,2019-09-24,09:30:00,4.8,9.6,1,2019-09-26 09:00:00,1.0,3.8,0.057999999999999996,3.742,2413.59,Target Hit,645,0.24135900000000002,113.95,0.1,2019,9,"20, 4, 30m, 2% SL"
88,nifty,11550,C,2019-10-03,2019-09-30 14:30:00,SELL,2019-09-30,15:00:00,34.75,69.5,1,2019-10-03 09:00:00,1.0,33.75,0.3575,33.3925,20035.5,Target Hit,600,2.00355,135.85,1.0,2019,9,"20, 4, 30m, 2% SL"
89,nifty,11550,P,2019-10-03,2019-10-01 09:00:00,SELL,2019-10-01,09:30:00,50.75,101.5,1,2019-10-01 10:00:00,113.5,-62.75,1.6425,-64.3925,-38635.5,Gap Outside ISL,600,-3.8635500000000005,169.5,46.55,2019,10,"20, 4, 30m, 2% SL"
90,nifty,11400,C,2019-10-10,2019-10-07 14:00:00,SELL,2019-10-07,14:30:00,8.8,17.6,1,2019-10-10 11:00:00,1.0,7.800000000000001,0.098,7.702000000000001,4736.7300000000005,Target Hit,615,0.47367300000000007,109.0,0.8,2019,10,"20, 4, 30m, 2% SL"
91,nifty,11600,C,2019-10-24,2019-10-23 11:00:00,SELL,2019-10-23,11:30:00,78.7,157.4,1,2019-10-24 15:00:00,1.0,77.7,0.797,76.903,46141.8,Target Hit,600,4.61418,135.0,0.05,2019,10,"20, 4, 30m, 2% SL"
92,nifty,11650,P,2019-10-31,2019-10-29 12:30:00,SELL,2019-10-29,13:00:00,17.8,35.6,1,2019-10-31 09:00:00,1.0,16.8,0.188,16.612000000000002,9967.2,Target Hit,600,0.99672,177.3,0.45,2019,10,"20, 4, 30m, 2% SL"
93,nifty,11900,P,2019-11-07,2019-11-04 14:00:00,SELL,2019-11-04,14:30:00,46.75,93.5,1,2019-11-07 13:30:00,1.0,45.75,0.47750000000000004,45.2725,26484.412500000002,Target Hit,585,2.6484412500000003,119.8,0.65,2019,11,"20, 4, 30m, 2% SL"
94,nifty,11900,C,2019-11-07,2019-11-05 15:00:00,SELL,2019-11-06,09:00:00,61.55,123.1,1,2019-11-06 14:00:00,123.1,-61.55,1.8464999999999998,-63.396499999999996,-37086.9525,Initial SL Hit,585,-3.70869525,126.7,25.6,2019,11,"20, 4, 30m, 2% SL"
95,nifty,12000,C,2019-11-14,2019-11-11 14:00:00,SELL,2019-11-11,14:30:00,22.1,44.2,1,2019-11-14 09:00:00,1.0,21.1,0.231,20.869,12208.365,Target Hit,585,1.2208365,102.4,0.6,2019,11,"20, 4, 30m, 2% SL"
96,nifty,11900,C,2019-11-21,2019-11-18 14:00:00,SELL,2019-11-18,14:30:00,60.45,120.9,1,2019-11-20 09:00:00,120.9,-60.45,1.8135000000000003,-62.2635,-36424.1475,Initial SL Hit,585,-3.6424147499999995,134.9,50.85,2019,11,"20, 4, 30m, 2% SL"
