,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
898,bnf,43400,C,2023-01-05,2022-12-30 13:30:00,SELL,2022-12-30 13:35:00,211.95,317.92499999999995,10,2023-01-05 11:25:00,10.0,201.95,2.2195,199.73049999999998,26963.617499999997,Target Hit,135,2.6963617499999994,2022,12
899,bnf,42600,C,2023-01-12,2023-01-06 13:35:00,SELL,2023-01-06 13:40:00,147.0,220.5,10,2023-01-09 09:15:00,220.5,-73.5,3.6750000000000003,-77.175,-10418.625,Initial SL Hit,135,-1.0418625000000001,2023,1
900,bnf,42600,C,2023-01-12,2023-01-09 09:20:00,SELL,2023-01-09 09:25:00,185.0,277.5,10,2023-01-09 10:05:00,277.5,-92.5,4.625,-97.125,-13111.875,Initial SL Hit,135,-1.3111875,2023,1
901,bnf,42600,C,2023-01-12,2023-01-09 13:40:00,SELL,2023-01-09 13:45:00,219.1,328.65,10,2023-01-12 11:10:00,10.0,209.1,2.291,206.809,27919.215,Target Hit,135,2.7919215,2023,1
902,bnf,42600,P,2023-01-12,2023-01-12 15:25:00,SELL,2023-01-06 09:15:00,515.05,772.5749999999999,10,2023-01-06 13:25:00,772.5749999999999,-257.525,12.87625,-270.40125,-36504.16875,Initial SL Hit,135,-3.6504168749999995,2023,1
903,bnf,42600,P,2023-01-12,2023-01-09 09:25:00,SELL,2023-01-09 09:30:00,413.85,620.7750000000001,10,2023-01-10 12:40:00,620.7750000000001,-206.92500000000007,10.34625,-217.27125000000007,-29331.61875000001,Initial SL Hit,135,-2.933161875000001,2023,1
904,bnf,42600,P,2023-01-12,2023-01-11 09:50:00,SELL,2023-01-11 09:55:00,517.05,775.5749999999999,10,2023-01-12 13:25:00,775.5749999999999,-258.525,12.92625,-271.45124999999996,-36645.91875,Initial SL Hit,135,-3.6645918749999997,2023,1
905,bnf,42600,P,2023-01-12,2023-01-12 14:40:00,SELL,2023-01-12 14:45:00,580.0,870.0,10,2023-01-12 15:20:00,517.95,62.049999999999955,10.9795,51.07049999999995,6894.517499999994,Expiry Exit,135,0.6894517499999994,2023,1
906,bnf,42200,C,2023-01-19,2023-01-16 11:15:00,SELL,2023-01-16 11:20:00,423.05,634.575,10,2023-01-19 15:20:00,123.65,299.4,5.4670000000000005,293.933,39680.955,Expiry Exit,135,3.9680955000000004,2023,1
907,bnf,42200,P,2023-01-19,2023-01-13 13:35:00,SELL,2023-01-13 13:40:00,260.0,390.0,10,2023-01-17 13:20:00,390.0,-130.0,6.5,-136.5,-18427.5,Initial SL Hit,135,-1.8427499999999999,2023,1
