week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year
2024-04-27,2024-05-03 14:15:00,74000.6875,74571.25,73227.3203,1343.9296999999933,36.32208687250354,74269.47344,73731.90156,73700,PE,2024-05-03,RE-ENTRY,0.45,0.05,2024-05-03 15:15:00,0,0.005,0.395,2000000,8,217.09633649932158,85.75305291723203,0.004287652645861601,2024
2024-05-04,2024-05-04 09:16:00,74196.6797,75095.1797,73467.7266,1627.4530999999988,43.86862340957284,74522.17031999999,73871.18908,74500,CE,2024-05-10,STRANGLE,371.85,0.05,2024-05-10 15:15:00,6,3.7190000000000003,368.081,2000000,9,241.61073825503357,88932.32214765101,4.4466161073825505,2024
2024-05-04,2024-05-04 09:16:00,74196.6797,75095.1797,73467.7266,1627.4530999999988,43.86862340957284,74522.17031999999,73871.18908,73900,PE,2024-05-10,STRANGLE,420.55,524.85,2024-05-07 09:15:00,6,9.454,-113.75400000000002,2000000,8,216.50879566982408,-24628.741542625172,-1.2314370771312586,2024
2024-05-11,2024-05-11 09:16:00,72476.6484,74359.6875,72334.1797,2025.5078000000067,55.89408022350014,72881.74996,72071.54684000001,72900,CE,2024-05-17,STRANGLE,442.1,544.65,2024-05-14 10:15:00,6,9.8675,-112.41749999999996,2000000,9,246.91358024691357,-27757.407407407398,-1.3878703703703699,2024
2024-05-11,2024-05-11 09:16:00,72476.6484,74359.6875,72334.1797,2025.5078000000067,55.89408022350014,72881.74996,72071.54684000001,72100,PE,2024-05-17,STRANGLE,330.65,506.6,2024-05-13 09:15:00,6,8.3725,-184.32250000000005,2000000,8,221.9140083217753,-40903.74479889044,-2.045187239944522,2024
2024-05-11,2024-05-13 10:15:00,72476.6484,74359.6875,72334.1797,2025.5078000000067,55.89408022350014,72881.74996,72071.54684000001,72100,PE,2024-05-17,RE-ENTRY,450.4,0.05,2024-05-17 15:15:00,4,4.5045,445.84549999999996,2000000,8,221.9140083217753,98939.36199722606,4.946968099861303,2024
2024-05-11,2024-05-16 10:15:00,72476.6484,74359.6875,72334.1797,2025.5078000000067,55.89408022350014,72881.74996,72071.54684000001,72900,CE,2024-05-17,RE-ENTRY,353.2,613.75,2024-05-16 11:15:00,1,9.669500000000001,-270.21950000000004,2000000,9,246.91358024691357,-66720.86419753087,-3.3360432098765433,2024
2024-05-11,2024-05-16 12:15:00,72476.6484,74359.6875,72334.1797,2025.5078000000067,55.89408022350014,72881.74996,72071.54684000001,72900,CE,2024-05-17,RE-ENTRY,331.35,748.3,2024-05-16 14:15:00,1,10.796500000000002,-427.7464999999999,2000000,9,246.91358024691357,-105616.41975308639,-5.280820987654319,2024
2024-05-18,2024-05-18 09:16:00,73921.46,74070.8438,71866.0078,2204.8359999999957,59.65347545895321,74362.4272,73480.4928,74400,CE,2024-05-24,STRANGLE,325.65,402.85,2024-05-23 09:15:00,6,7.285,-84.48500000000004,2000000,9,241.93548387096774,-20439.91935483872,-1.021995967741936,2024
2024-05-18,2024-05-18 09:16:00,73921.46,74070.8438,71866.0078,2204.8359999999957,59.65347545895321,74362.4272,73480.4928,73500,PE,2024-05-24,STRANGLE,334.85,0.05,2024-05-24 15:15:00,6,3.349,331.451,2000000,8,217.68707482993196,72152.59863945578,3.607629931972789,2024
2024-05-25,2024-05-25 09:16:00,75655.4609,75636.5,73762.3672,1874.1328000000067,49.54388692383226,76030.28746,75280.63434,76000,CE,2024-05-31,STRANGLE,378.25,0.05,2024-05-31 15:15:00,6,3.7830000000000004,374.417,2000000,9,236.8421052631579,88677.71052631579,4.433885526315789,2024
2024-05-25,2024-05-25 09:16:00,75655.4609,75636.5,73762.3672,1874.1328000000067,49.54388692383226,76030.28746,75280.63434,75300,PE,2024-05-31,STRANGLE,412.8,379.15,2024-05-28 14:15:00,6,7.9195,25.730500000000035,2000000,8,212.48339973439576,5467.304116865877,0.2733652058432939,2024
2024-06-01,2024-06-01 09:16:00,76583.29,76009.6797,73668.7266,2340.953099999999,61.13482719272048,77051.48061999999,76115.09938,77100,CE,2024-06-07,STRANGLE,610.55,0.05,2024-06-07 15:15:00,6,6.105999999999999,604.394,2000000,9,233.46303501945525,141103.65758754863,7.055182879377432,2024
2024-06-01,2024-06-01 09:16:00,76583.29,76009.6797,73668.7266,2340.953099999999,61.13482719272048,77051.48061999999,76115.09938,76100,PE,2024-06-07,STRANGLE,1442.45,1090.0,2024-06-03 09:15:00,6,25.3245,327.12550000000005,2000000,8,210.2496714848883,68778.02890932983,3.4389014454664917,2024
2024-06-01,2024-06-03 11:15:00,76583.29,76009.6797,73668.7266,2340.953099999999,61.13482719272048,77051.48061999999,76115.09938,76100,PE,2024-06-07,RE-ENTRY,975.35,1938.55,2024-06-04 09:15:00,4,29.139000000000003,-992.3389999999999,2000000,8,210.2496714848883,-208638.94875164254,-10.431947437582128,2024
2024-06-01,2024-06-07 11:15:00,76583.29,76009.6797,73668.7266,2340.953099999999,61.13482719272048,77051.48061999999,76115.09938,76100,PE,2024-06-07,RE-ENTRY,154.25,0.05,2024-06-07 15:15:00,0,1.5430000000000001,152.65699999999998,2000000,8,210.2496714848883,32096.08409986859,1.6048042049934295,2024
2024-06-08,2024-06-08 09:16:00,76935.41,76795.31,70234.43,6560.880000000005,170.55553483110063,78247.58600000001,75623.234,78200,CE,2024-06-14,STRANGLE,383.05,0.05,2024-06-14 15:15:00,6,3.8310000000000004,379.169,2000000,9,230.17902813299233,87276.75191815857,4.3638375959079285,2024
2024-06-08,2024-06-08 09:16:00,76935.41,76795.31,70234.43,6560.880000000005,170.55553483110063,78247.58600000001,75623.234,75600,PE,2024-06-14,STRANGLE,259.85,0.05,2024-06-14 15:15:00,6,2.599,257.201,2000000,8,211.64021164021165,54434.07407407408,2.721703703703704,2024
