,Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio
"(2017, 7)",6.153189546325983,14,85.71428571428571,0.5283243624579615,-0.09335140158477763,-0.10792349726775974,57.014363897602685
"(2017, 8)",1.8008893534696178,14,64.28571428571429,0.4379205131414061,-0.4280790529606076,-0.8180835877711248,2.2013512804677515
"(2017, 9)",-1.3334640952381998,14,28.57142857142857,0.6037308641423289,-0.4164875057563906,-2.0154771690590736,-0.6616121064078975
"(2017, 10)",9.903019050622593,14,92.85714285714286,0.7683911249533142,-0.08606557377049223,-0.08606557377049207,115.0636499215193
"(2017, 11)",-1.629884702170643,14,50.0,0.45505094011168257,-0.6878916118503459,-2.1461023433763735,-0.7594627102482043
"(2017, 12)",6.942343688219594,14,85.71428571428571,0.6004611584813592,-0.13159510677835756,-0.16202905943989698,42.84628764875837
"(2018, 1)",-5.482798273005693,14,21.428571428571427,0.326250899042265,-0.587413724557499,-6.044730362914829,-0.9070376913159502
"(2018, 2)",-4.389871613028207,16,25.0,0.34828448199996564,-0.4819174617523392,-3.8216898184142707,-1.148672922610368
"(2018, 3)",-7.23970490942268,16,25.0,0.12055241587765037,-0.6434928810777735,-6.891064899245587,-1.0505930527827798
"(2018, 4)",10.971132096890269,16,93.75,0.7580045537123271,-0.39893620879463915,-0.3989362087946393,27.50096846320081
"(2018, 5)",-8.517804270922134,16,18.75,0.3516047291282665,-0.7363552660236105,-8.47004087169654,-1.0056390990255077
"(2018, 6)",-4.396403050762835,16,18.75,0.08460399149874594,-0.3577088480968517,-3.666439480635331,-1.1990933094580942
"(2018, 7)",3.97211608215857,16,75.0,0.46788440035367423,-0.41062418052138033,-0.6839897912866952,5.807273928294132
"(2018, 8)",5.6424902148631055,16,81.25,0.4703713613216699,-0.1574458274395345,-0.25888126410552736,21.79566850601852
"(2018, 9)",-12.768447840954526,16,6.25,0.08727175080558551,-0.8570479727840071,-11.849700358070914,-1.0775333936826383
"(2018, 10)",0.8720266948824211,16,43.75,0.6315169034574443,-0.39428795881329876,-1.2467230858665164,0.6994549990837234
