Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2021-07-31,16976.4,16234.75,741.6500000000015,16577.95,10%,16652.115,16503.785,high,16500,2021-08-31,28,FINNIFTY21AUG16500PE,PE,2021-08-03 12:15:00,,2021-08-31 15:30:00,,Expiry Closing,,,,484.8484848484849,,,,,2021
2021-07-31,16976.4,16234.75,741.6500000000015,16577.95,10%,16652.115,16503.785,low,16650,2021-08-31,29,FINNIFTY21AUG16650CE,CE,2021-08-02 14:32:00,,2021-08-04 09:30:00,,SL Hit,,,,480.4804804804805,,,,,2021
2021-08-31,18095.15,16486.7,1608.4500000000007,18106.7,10%,18267.545000000002,17945.855,high,17950,2021-09-28,25,FINNIFTY21SEP17950PE,PE,2021-09-03 09:18:00,,2021-09-28 15:30:00,,Expiry Closing,,,,445.6824512534819,,,,,2021
2021-08-31,18095.15,16486.7,1608.4500000000007,18106.7,10%,18267.545000000002,17945.855,low,18250,2021-09-28,21,FINNIFTY21SEP18250CE,CE,2021-09-07 10:08:00,,2021-09-07 12:16:00,,SL Hit,,,,438.35616438356163,,,,,2021
2021-09-30,18820.45,17900.75,919.7000000000007,18181.75,10%,18273.72,18089.78,high,18100,2021-10-26,22,FINNIFTY21OCT18100PE,PE,2021-10-04 09:16:00,,2021-10-26 15:30:00,,Expiry Closing,,,,441.9889502762431,,,,,2021
2021-09-30,18820.45,17900.75,919.7000000000007,18181.75,10%,18273.72,18089.78,low,18250,2021-10-26,25,FINNIFTY21OCT18250CE,CE,2021-10-01 09:21:00,,2021-10-14 13:43:00,,SL Hit,,,,438.35616438356163,,,,,2021
2021-10-31,19777.7,18042.3,1735.4000000000015,18931.45,10%,19104.99,18757.91,high,18750,2021-11-30,28,FINNIFTY21NOV18750PE,PE,2021-11-02 09:15:00,,2021-11-22 14:29:00,,SL Hit,,,,426.6666666666667,,,,,2021
2021-10-31,19777.7,18042.3,1735.4000000000015,18931.45,10%,19104.99,18757.91,low,19100,2021-11-30,29,FINNIFTY21NOV19100CE,CE,2021-11-01 10:48:00,,2021-11-30 15:30:00,,Expiry Closing,,,,418.848167539267,,,,,2021
2021-11-30,19258.25,17285.9,1972.3499999999985,17654.15,10%,17851.385000000002,17456.915,high,17450,2021-12-28,26,FINNIFTY21DEC17450PE,PE,2021-12-02 09:31:00,,2021-12-17 14:46:00,,SL Hit,,,,458.45272206303724,,,,,2021
2021-11-30,19258.25,17285.9,1972.3499999999985,17654.15,10%,17851.385000000002,17456.915,low,17850,2021-12-28,11,FINNIFTY21DEC17850CE,CE,2021-12-17 09:56:00,,2021-12-28 15:30:00,,Expiry Closing,,,,448.1792717086835,,,,,2021
2021-12-31,18353.05,16547.4,1805.6499999999978,17377.95,10%,17558.515,17197.385000000002,high,17200,2022-01-25,22,FINNIFTY22JAN17200PE,PE,2022-01-03 11:13:00,,2022-01-25 15:30:00,,Expiry Closing,,,,465.1162790697674,,,,,2022
2022-01-31,18747.35,17325.7,1421.6499999999978,18065.9,10%,18208.065000000002,17923.735,high,17900,2022-02-22,21,FINNIFTY22FEB17900PE,PE,2022-02-01 10:16:00,,2022-02-14 09:16:00,,SL Hit,,,,446.92737430167597,,,,,2022
2022-01-31,18747.35,17325.7,1421.6499999999978,18065.9,10%,18208.065000000002,17923.735,low,18200,2022-02-22,21,FINNIFTY22FEB18200CE,CE,2022-02-01 13:03:00,,2022-02-22 15:30:00,,Expiry Closing,,,,439.56043956043953,,,,,2022
2022-02-28,18427.35,16451.7,1975.6499999999978,16573.65,10%,16771.215,16376.085000000001,high,16400,2022-03-29,12,FINNIFTY22MAR16400PE,PE,2022-03-17 09:15:00,,2022-03-28 09:26:00,,SL Hit,,,,487.8048780487805,,,,,2022
2022-02-28,18427.35,16451.7,1975.6499999999978,16573.65,10%,16771.215,16376.085000000001,low,16750,2022-03-29,27,FINNIFTY22MAR16750CE,CE,2022-03-02 14:36:00,,2022-03-29 15:30:00,,Expiry Closing,,,,477.6119402985075,,,,,2022
