,Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
587,LONG,2018-12-26 13:15:00,26571.4,26372.114500000003,2018-12-27 14:15:00,27040.45,469.0499999999993,5.361185000000001,480,463.6888149999993,222570.63119999965,4.451412623999993,1 days 01:00:00,MA Cross Opp,2018
588,SHORT,2018-12-27 14:15:00,27040.45,27243.253375000004,2018-12-28 10:15:00,27180.05,-139.59999999999854,5.4220500000000005,480,-145.02204999999856,-69610.5839999993,-1.3922116799999862,0 days 20:00:00,MA Cross Opp,2018
589,LONG,2018-12-28 10:15:00,27180.05,26976.199625,2018-12-28 15:00:00,27122.3,-57.75,5.430235,480,-63.180234999999996,-30326.512799999997,-0.6065302559999999,0 days 04:45:00,MA Cross Opp,2018
590,SHORT,2018-12-28 15:00:00,27122.3,27325.71725,2018-12-31 10:15:00,27191.45,-69.15000000000146,5.431375,480,-74.58137500000146,-35799.060000000696,-0.715981200000014,2 days 19:15:00,MA Cross Opp,2018
591,LONG,2018-12-31 10:15:00,27191.45,26987.514125,2018-12-31 12:15:00,27140.35,-51.10000000000218,5.43318,480,-56.53318000000218,-27135.926400001048,-0.542718528000021,0 days 02:00:00,MA Cross Opp,2018
592,SHORT,2018-12-31 12:15:00,27140.35,27343.902625,2018-12-31 15:15:00,27179.9,-39.55000000000291,5.432025,480,-44.98202500000291,-21591.3720000014,-0.431827440000028,0 days 03:00:00,MA Cross Opp,2018
593,LONG,2018-12-31 15:15:00,27179.9,26976.050750000002,2019-01-01 09:30:00,27088.4,-91.5,5.426830000000001,480,-96.92683,-46524.8784,-0.930497568,0 days 18:15:00,MA Cross Opp,2018
594,SHORT,2019-01-01 09:30:00,27088.4,27291.563000000002,2019-01-01 14:30:00,27291.563000000002,-203.16300000000047,5.437996300000001,480,-208.60099630000047,-100128.47822400022,-2.002569564480005,0 days 05:00:00,ISL Hit,2019
595,LONG,2019-01-01 14:30:00,27188.25,26984.338125000002,2019-01-02 12:45:00,27219.45,31.200000000000728,5.44077,480,25.759230000000727,12364.430400000349,0.24728860800000696,0 days 22:15:00,MA Cross Opp,2019
596,SHORT,2019-01-02 13:15:00,27201.55,27405.561625000002,2019-01-04 11:30:00,27099.05,102.5,5.43006,480,97.06994,46593.5712,0.931871424,1 days 22:15:00,MA Cross Opp,2019
