Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
SHORT,2018-12-14 09:15:00,26800.65,27068.6565,2018-12-17 09:15:00,26857.05,-56.39999999999782,5.36577,1110,-61.765769999997815,-68560.00469999757,-0.6856000469999757,3 days 00:00:00,MA Cross Opp,2018
LONG,2018-12-17 10:15:00,27011.75,26741.6325,2018-12-18 09:15:00,26987.05,-24.700000000000728,5.3998800000000005,1110,-30.099880000000727,-33410.866800000804,-0.334108668000008,0 days 23:00:00,MA Cross Opp,2018
SHORT,2018-12-18 09:15:00,26987.05,27256.9205,2018-12-18 15:15:00,27195.9,-208.85000000000218,5.418295,1110,-214.26829500000218,-237837.80745000244,-2.3783780745000245,0 days 06:00:00,MA Cross Opp,2018
LONG,2018-12-18 15:15:00,27195.9,26923.941000000003,2018-12-21 11:15:00,27026.75,-169.15000000000146,5.422265,1080,-174.57226500000147,-188538.04620000158,-1.8853804620000156,2 days 20:00:00,MA Cross Opp,2018
SHORT,2018-12-21 11:15:00,27026.75,27297.0175,2018-12-26 14:15:00,26905.3,121.45000000000073,5.393205000000001,1110,116.05679500000073,128823.04245000081,1.2882304245000082,5 days 03:00:00,MA Cross Opp,2018
LONG,2018-12-26 14:15:00,26905.3,26636.247,2018-12-28 11:15:00,27136.25,230.95000000000073,5.404155,1110,225.54584500000072,250355.88795000082,2.503558879500008,1 days 21:00:00,MA Cross Opp,2018
SHORT,2018-12-28 11:15:00,27136.25,27407.6125,2018-12-28 13:15:00,27181.05,-44.79999999999927,5.431730000000001,1080,-50.231729999999274,-54250.268399999215,-0.5425026839999921,0 days 02:00:00,MA Cross Opp,2018
LONG,2018-12-28 13:15:00,27181.05,26909.2395,2018-12-28 15:15:00,27112.6,-68.45000000000073,5.429365,1080,-73.87936500000073,-79789.71420000079,-0.7978971420000079,0 days 02:00:00,MA Cross Opp,2018
SHORT,2018-12-28 15:15:00,27112.6,27383.726,2018-12-31 13:15:00,27162.25,-49.650000000001455,5.427485,1080,-55.07748500000145,-59483.68380000157,-0.5948368380000157,2 days 22:00:00,MA Cross Opp,2018
LONG,2018-12-31 13:15:00,27162.25,26890.6275,2019-01-01 09:15:00,27147.1,-15.150000000001455,5.430935,1080,-20.580935000001453,-22227.40980000157,-0.22227409800001569,0 days 20:00:00,MA Cross Opp,2018
SHORT,2019-01-01 09:15:00,27147.1,27418.571,2019-01-01 15:15:00,27395.35,-248.25,5.454245,1080,-253.70424500000001,-274000.5846,-2.7400058460000003,0 days 06:00:00,MA Cross Opp,2019
LONG,2019-01-01 15:15:00,27395.35,27121.3965,2019-01-02 13:15:00,27156.6,-238.75,5.455195,1080,-244.205195,-263741.6106,-2.6374161060000003,0 days 22:00:00,MA Cross Opp,2019
SHORT,2019-01-02 13:15:00,27156.6,27428.165999999997,2019-01-04 12:15:00,27158.1,-1.5,5.43147,1080,-6.93147,-7485.9876,-0.074859876,1 days 23:00:00,MA Cross Opp,2019
LONG,2019-01-04 12:15:00,27158.1,26886.518999999997,2019-01-07 15:15:00,27282.1,124.0,5.44402,1080,118.55598,128040.4584,1.280404584,3 days 03:00:00,MA Cross Opp,2019
SHORT,2019-01-07 15:15:00,27282.1,27554.921,2019-01-08 13:15:00,27355.35,-73.25,5.463745,1080,-78.713745,-85010.8446,-0.8501084459999999,0 days 22:00:00,MA Cross Opp,2019
LONG,2019-01-08 13:15:00,27355.35,27081.796499999997,2019-01-10 13:15:00,27519.3,163.95000000000073,5.487464999999999,1080,158.46253500000074,171139.5378000008,1.711395378000008,2 days 00:00:00,MA Cross Opp,2019
SHORT,2019-01-10 13:15:00,27519.3,27794.493,2019-01-15 09:15:00,27260.25,259.0499999999993,5.477955000000001,1080,253.57204499999926,273857.80859999923,2.7385780859999924,4 days 20:00:00,MA Cross Opp,2019
LONG,2019-01-15 11:15:00,27418.65,27144.4635,2019-01-16 15:15:00,27463.75,45.099999999998545,5.48824,1080,39.61175999999855,42780.700799998434,0.4278070079999844,1 days 04:00:00,MA Cross Opp,2019
SHORT,2019-01-16 15:15:00,27463.75,27738.3875,2019-01-21 09:15:00,27474.9,-11.150000000001455,5.493865,1080,-16.643865000001455,-17975.37420000157,-0.1797537420000157,4 days 18:00:00,MA Cross Opp,2019
LONG,2019-01-21 12:15:00,27546.1,27270.639,2019-01-22 10:15:00,27424.4,-121.69999999999709,5.497050000000001,1080,-127.19704999999709,-137372.81399999687,-1.3737281399999686,0 days 22:00:00,MA Cross Opp,2019
